SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,Trials.targetAudio,length_critical_window,useable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,useable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,useable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,dev_concern_exclusion,side_bias_exclusion,exclude_participant_insufficient_data,section
VVI059,510,hard-bulldozer-tractor-distractor,1,hard-distractor,tractor,bulldozer,bulldozer-tractor,look_at,96,96,1,1,0.6979166666666667,66,66,1,1,0.8333333333333334,59,59,1,1,0.9661016949152542,0.9661016949152542,0.03389830508474576,1,0,1,1,-0.2681850282485875,-0.13276836158192085,0,NA,FALSE,7.341,30.35921452890506,0,NA,0,0,0,0,0,0,sample1
VVI022,480,easy-cheese-mud-distractor,1,easy-distractor,mud,cheese,cheese-mud,look_at,95,84,0.8842105263157894,1,1,66,66,1,1,1,60,60,1,1,0.3833333333333333,0.38333333333333336,0.6166666666666667,0,0,1,1,0.6166666666666667,0.6166666666666667,0,NA,FALSE,7.273,29.980048733421643,0,NA,0,0,0,0,0,0,sample1
VVI060,600,easy-turkey-swan,1,easy,turkey,swan,turkey-swan,see,96,96,1,1,0.4479166666666666,66,66,1,1,0.4848484848484851,60,60,1,1,0.4166666666666667,0.5833333333333334,0.4166666666666667,0,0,1,1,0.03124999999999989,0.0681818181818184,0,NA,FALSE,7.374,29.97636734660956,0,NA,0,0,0,0,0,0,sample1
VVI075,450,easy-potato-glasses,1,easy,potato,glasses,potato-glasses,look_at,96,96,1,1,0.7708333333333333,66,66,1,1,0.6666666666666669,60,60,1,1,0.6666666666666669,0.6666666666666666,0.3333333333333333,0,0,1,1,0.1041666666666664,0,0,NA,FALSE,7.519,30.36581077412498,0,NA,0,0,0,0,0,0,sample1
VVI076,750,easy-squirrel-eagle,1,easy,squirrel,eagle,squirrel-eagle,find,96,96,1,1,0.39583333333333354,66,66,1,1,0.12121212121212133,60,60,1,1,0.35000000000000003,0.35,0.65,0,0,1,1,0.0458333333333335,-0.2287878787878787,0,NA,FALSE,7.273,29.908737688623837,0,NA,0,0,0,0,0,0,sample1
VVI026,480,hard-acorn-coconut,1,hard,acorn,coconut,acorn-coconut,where,95,95,1,1,0,65,65,1,1,0,59,59,1,1,0.37288135593220345,0.6271186440677966,0.3728813559322034,0,0,1,1,-0.37288135593220345,-0.37288135593220345,0,NA,FALSE,7.793,30.356294490583345,0,NA,0,0,0,0,0,0,sample1
VVI012,570,hard-acorn-coconut-distractor,1,hard-distractor,coconut,acorn,acorn-coconut,find,96,96,1,1,0.10416666666666664,66,66,1,1,0.15151515151515155,61,38,0.6229508196721312,1,0.05263157894736846,0.03278688524590164,0.5901639344262295,0,0,1,1,0.05153508771929818,0.09888357256778307,0,NA,FALSE,7.458,62.12087483767417,0,NA,0,0,0,0,0,0,sample1
VVI120,540,easy-bulldozer-orange,1,easy,bulldozer,orange,bulldozer-orange,look_at,96,96,1,1,0.41666666666666646,67,67,1,1,0.5970149253731343,59,59,1,1,0,0,1,0,1,1,1,0.41666666666666646,0.5970149253731343,0,NA,FALSE,7.33,30.35890229894915,0,NA,1,0,0,1,0,1,sample1
VVI010,660,easy-potato-glasses-distractor,1,easy-distractor,glasses,potato,potato-glasses,see,82,75,0.9146341463414634,1,0.6800000000000002,57,56,0.9824561403508772,1,0.642857142857143,54,54,1,1,1,1,0,1,0,1,1,-0.31999999999999984,-0.357142857142857,0,NA,FALSE,6.832,28.49409339988365,0,NA,0,0,0,0,0,0,sample1
VVI063,720,easy-squirrel-eagle,1,easy,squirrel,eagle,squirrel-eagle,find,96,96,1,1,0.6354166666666666,66,66,1,1,0.6818181818181819,60,60,1,1,0.7166666666666666,0.7166666666666667,0.2833333333333333,0,0,1,1,-0.08124999999999993,-0.03484848484848468,0,NA,FALSE,7.4,30.005941770647652,0,NA,0,0,0,0,0,0,sample1
