SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,length_critical_window,usable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,usable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,usable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,side_bias_exclusion,exclude_participant_insufficient_data
FHRCdd,540,hard-squirrel-monkey,6,hard,squirrel,monkey,squirrel-monkey,96,96,1,1,0.7395833333333331,45,45,1,1,0.4444444444444443,60,60,1,1,0.1833333333333332,0.8166666666666667,0.18333333333333332,1,0,1,1,0.5562499999999999,0.26111111111111107,0,NA,FALSE,7.4,30.005941770647652,0,NA,0,0,0,0,0
GNXMNQ,660,hard-turkey-goat-distractor,6,hard-distractor,goat,turkey,turkey-goat,77,77,1,1,0.8181818181818181,35,35,1,1,0.6000000000000001,50,49,0.98,1,0.44897959183673464,0.54,0.44,0,0,1,1,0.3692022263450835,0.15102040816326545,0,NA,FALSE,6.911,27.58255481761488,0,NA,0,0,0,0,0
TUFKTQ,450,easy-squirrel-eagle,6,easy,squirrel,eagle,squirrel-eagle,97,97,1,1,0.5670103092783507,46,46,1,1,0.7391304347826088,59,59,1,1,0.2372881355932203,0.7627118644067796,0.23728813559322035,0,0,1,1,0.32972217368513046,0.5018422991893885,0,NA,FALSE,7.459,30.612988805805813,0,NA,0,0,0,0,0
QWGKVS,750,hard-potato-pot,6,hard,potato,pot,potato-pot,58,52,0.896551724137931,1,1,30,30,1,1,1,42,42,1,1,0.5476190476190478,0.5476190476190477,0.4523809523809524,0,0,1,1,0.4523809523809522,0.4523809523809522,0,NA,FALSE,6.639,24.783057632299172,0,NA,0,0,0,0,0
6THVBG,510,hard-potato-pot,6,hard,potato,pot,potato-pot,96,96,1,1,0.53125,45,45,1,1,0.5333333333333334,60,60,1,1,0.050000000000000024,0.95,0.05,1,0,1,1,0.48124999999999996,0.4833333333333334,0,NA,FALSE,7.333,30.007292173067576,0,NA,0,0,0,0,0
UQBHFH,510,easy-squirrel-eagle-distractor,6,easy-distractor,eagle,squirrel,squirrel-eagle,96,65,0.6770833333333334,1,0.23076923076923095,45,42,0.9333333333333333,1,0.3571428571428571,60,60,1,1,0.23333333333333342,0.7666666666666667,0.23333333333333334,0,0,1,1,-0.0025641025641024717,0.12380952380952367,0,NA,FALSE,7.3,30.005941770647652,0,NA,0,0,0,0,1
d4HUR3,480,hard-snail-worm,6,hard,snail,worm,snail-worm,49,49,1,1,0.6938775510204079,23,23,1,1,1,30,30,1,1,0.3000000000000001,0.3,0.7,0,0,1,1,0.39387755102040783,0.7,0,NA,FALSE,7.516,15.167873062609905,0,NA,0,0,0,0,0
NPV5EF,570,hard-squirrel-monkey,6,hard,squirrel,monkey,squirrel-monkey,23,22,0.9565217391304348,1,0.1818181818181818,10,10,1,1,0.20000000000000004,15,15,1,1,0.13333333333333336,0.13333333333333333,0.8666666666666667,0,1,1,1,0.048484848484848436,0.06666666666666668,0,framerate issue,TRUE,7.066,7.4289653492986325,1,framerate issue,0,0,0,0,NA
dKKWAR,450,hard-cheese-butter-distractor,6,hard-distractor,butter,cheese,cheese-butter,95,55,0.5789473684210527,1,0,45,26,0.5777777777777777,1,0,58,55,0.9482758620689655,1,0.2727272727272729,0.25862068965517243,0.6896551724137931,0,0,1,1,-0.2727272727272729,-0.2727272727272729,0,NA,FALSE,7.551,32.094435949520836,0,NA,0,0,0,0,0
UQBHFH,510,hard-turtle-frog-distractor,7,hard-distractor,frog,turtle,turtle-frog,96,24,0.25,0,0.45833333333333337,45,13,0.28888888888888886,0,0.6153846153846154,60,11,0.18333333333333332,0,0,0.18333333333333332,0,0,0,0,0,0.45833333333333337,0.6153846153846154,0,NA,FALSE,7.283,31.800056441354386,1,insufficient looking,0,0,0,0,1
