,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,ZPX2dD,hard-turkey-goat-distractor,2025-01-05 14:50:37.366,111.0,2025-01-05 14:50:44.745,600,m,turkey,goat,goat,find,hard-distractor,2,2.980748,3.860907,37,39 weeks,en,,23
0,QcRBVD,easy-turtle-horse-distractor,2025-01-05 19:57:08.423,65.0,2025-01-05 19:57:15.784,510,m,turtle,horse,horse,find,easy-distractor,2,2.980748,3.860907,37,40 or more weeks,en,,23
0,CS7F6L,hard-turtle-frog,2025-01-06 14:09:08.126,625.0,2025-01-06 14:09:16.118,540,m,frog,turtle,turtle,find,hard,2,2.980748,3.960068,37,39 weeks,en es,,23
0,M7RZU2,hard-snail-worm,2025-01-05 16:31:39.155,22.0,2025-01-05 16:31:46.427,510,f,worm,snail,snail,see,hard,2,2.980748,3.860907,37,40 or more weeks,en egy,,23
0,AWMRW7,hard-bulldozer-tractor,2025-01-05 16:16:49.929,113.0,2025-01-05 16:16:57.295,720,f,tractor,bulldozer,bulldozer,see,hard,2,2.980748,4.103515,37,39 weeks,en,,23
0,QcRBVD,easy-acorn-key-distractor,2025-01-05 19:57:21.217,100.0,2025-01-05 19:57:28.574,510,m,acorn,key,key,see,easy-distractor,2,2.980748,3.860907,38,40 or more weeks,en,,24
0,CS7F6L,easy-turkey-swan-distractor,2025-01-06 14:09:23.871,387.0,2025-01-06 14:09:31.630,540,m,swan,turkey,swan,see,easy-distractor,2,2.980748,3.860907,38,39 weeks,en es,,24
0,AWMRW7,easy-squirrel-eagle-distractor,2025-01-05 16:16:59.610,135.0,2025-01-05 16:17:06.995,720,f,eagle,squirrel,eagle,look_at,easy-distractor,2,2.980748,3.960068,38,39 weeks,en,,24
0,M7RZU2,hard-turkey-goat-distractor,2025-01-05 16:31:50.172,12.0,2025-01-05 16:31:57.437,510,f,goat,turkey,goat,find,hard-distractor,2,2.980748,3.860907,38,40 or more weeks,en egy,,24
0,ZPX2dD,easy-snail-cow,2025-01-05 14:50:48.078,163.0,2025-01-05 14:50:55.495,600,m,cow,snail,snail,look_at,easy,2,2.980748,3.860907,38,39 weeks,en,,24
0,M7RZU2,easy-cheese-mud,2025-01-05 16:32:06.491,55.0,2025-01-05 16:32:13.797,510,f,mud,cheese,cheese,find,easy,2,2.980748,3.960068,40,40 or more weeks,en egy,,25
0,ZPX2dD,hard-cheese-butter,2025-01-05 14:51:01.292,131.0,2025-01-05 14:51:08.684,600,m,cheese,butter,cheese,see,hard,2,2.980748,3.960068,40,39 weeks,en,,25
0,CS7F6L,hard-bulldozer-tractor,2025-01-06 14:09:41.585,191.0,2025-01-06 14:09:49.021,540,m,tractor,bulldozer,bulldozer,see,hard,2,2.980748,4.103515,40,39 weeks,en es,,25
0,QcRBVD,hard-cheese-butter-distractor,2025-01-05 19:57:39.098,88.0,2025-01-05 19:57:46.415,510,m,butter,cheese,butter,where,hard-distractor,2,2.980748,3.960068,40,40 or more weeks,en,,25
0,AWMRW7,easy-acorn-key-distractor,2025-01-05 16:17:14.124,102.0,2025-01-05 16:17:21.476,720,f,key,acorn,key,look_at,easy-distractor,2,2.980748,3.860907,40,39 weeks,en,,25
0,ZPX2dD,hard-squirrel-monkey,2025-01-05 14:51:12.066,153.0,2025-01-05 14:51:19.504,600,m,squirrel,monkey,squirrel,find,hard,2,2.980748,3.960068,41,39 weeks,en,,26
