,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.article_length,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,UQBHFH,easy-potato-glasses,2025-01-24 14:10:14.956,102.0,2025-01-24 14:10:22.294,510,f,glasses,potato,potato,see,easy,2,3.222748,4.345515000000001,0.242,11,40 or more weeks,en fr es,,2
0,5QCS4M,hard-turtle-frog,2025-01-25 20:48:02.615,207.0,2025-01-25 20:48:10.076,750,f,turtle,frog,turtle,see,hard,2,3.2497480000000003,4.229068,0.269,11,39 weeks,en ko,,2
0,QEKHZQ,easy-snail-cow,2025-01-26 21:14:41.360,5.0,2025-01-26 21:14:48.634,480,f,cow,snail,snail,see,easy,2,3.1087480000000003,3.988907,0.128,11,40 or more weeks,en vi,,2
0,QGVDBW,easy-turtle-horse-distractor,2025-01-27 14:55:23.858,505.0,2025-01-27 14:55:31.660,480,m,turtle,horse,horse,see,easy-distractor,2,3.175748,4.055907,0.195,11,40 or more weeks,en ru,,2
0,M63GEd,easy-turkey-swan-distractor,2025-01-25 18:05:26.188,7.0,2025-01-25 18:05:33.536,660,f,swan,turkey,swan,see,easy-distractor,2,3.110748,3.990907,0.13,11,38 weeks,en,,2
0,CKRG26,easy-cheese-mud-distractor,2025-01-26 01:29:37.556,359.0,2025-01-26 01:29:45.357,630,f,mud,cheese,mud,find,easy-distractor,2,3.125748,4.0059070000000006,0.145,11,40 or more weeks,en,,2
0,QGTESM,easy-cheese-mud-distractor,2025-01-25 17:25:15.722,13.0,2025-01-25 17:25:23.074,630,m,mud,cheese,mud,look_at,easy-distractor,2,3.135748,4.015907,0.155,11,39 weeks,en,,2
0,cZRGZV,hard-turtle-frog,2025-01-27 01:04:07.747,150.0,2025-01-27 01:04:15.150,630,f,turtle,frog,turtle,see,hard,2,3.2497480000000003,4.229068,0.269,11,39 weeks,en es,,2
0,BFLJ23,easy-potato-glasses-distractor,2025-01-29 21:39:32.112,91.0,2025-01-29 21:39:39.466,450,f,glasses,potato,glasses,where,easy-distractor,2,3.1207480000000003,4.100068,0.14,11,40 or more weeks,en,,2
0,TUFKTQ,easy-cheese-mud,2025-01-25 19:00:54.715,225.0,2025-01-25 19:01:02.198,450,f,mud,cheese,cheese,see,easy,2,3.1487480000000003,4.128068000000001,0.168,11,39 weeks,en,,2
0,FHRCdd,hard-potato-pot-distractor,2025-01-24 17:27:59.282,135.0,2025-01-24 17:28:06.695,540,m,pot,potato,pot,see,hard-distractor,2,3.238748,4.118907,0.258,11,39 weeks,en ur,,2
0,6THVBG,easy-turkey-swan,2025-01-12 15:18:01.039,172.0,2025-01-12 15:18:08.454,510,f,swan,turkey,turkey,see,easy,2,3.2257480000000003,4.205068000000001,0.245,11,39 weeks,en,,2
0,MGVZH3,hard-cheese-butter,2025-01-29 20:00:52.428,300.0,2025-01-29 20:00:59.986,720,f,butter,cheese,cheese,look_at,hard,2,3.146748,4.126068,0.166,11,40 or more weeks,en fr cmn,,2
0,HEYJKC,easy-cheese-mud-distractor,2025-01-27 14:00:50.925,102.0,2025-01-27 14:00:58.304,600,m,cheese,mud,mud,where,easy-distractor,2,3.135748,4.015907,0.155,11,39 weeks,en,,2
0,QWGKVS,hard-acorn-coconut,2025-01-24 16:54:14.704,32.0,2025-01-24 16:54:22.008,750,m,acorn,coconut,acorn,where,hard,2,3.1567480000000003,4.136068,0.176,11,39 weeks,en,,2
0,L7Y4Y6,easy-bulldozer-orange-distractor,2025-01-27 13:45:29.507,331.0,2025-01-27 13:45:37.102,510,m,bulldozer,orange,orange,see,easy-distractor,2,3.1967480000000004,4.176068000000001,0.216,11,40 or more weeks,en,,2
0,ACW6AZ,hard-turkey-goat,2025-01-26 17:05:47.735,189.0,2025-01-26 17:05:55.187,630,f,goat,turkey,turkey,where,hard,2,3.224748,4.2040679999999995,0.244,11,39 weeks,en egy,,2
0,TUFKTQ,easy-snail-cow-distractor,2025-01-25 19:01:04.456,196.0,2025-01-25 19:01:11.926,450,f,cow,snail,cow,where,easy-distractor,2,3.1607480000000003,4.040907000000001,0.18,12,39 weeks,en,,3
0,VcKZT3,easy-snail-cow-distractor,2025-01-28 02:50:33.394,7.0,2025-01-28 02:50:40.675,690,f,cow,snail,cow,look_at,easy-distractor,2,3.1607480000000003,4.040907000000001,0.18,12,39 weeks,en,,3
0,XMJ25D,hard-turtle-frog-distractor,2025-01-23 19:44:41.697,21.0,2025-01-23 19:44:48.994,690,m,turtle,frog,frog,find,hard-distractor,2,3.127748,4.007907,0.147,12,39 weeks,en,,3
0,CKRG26,hard-turtle-frog,2025-01-26 01:29:47.435,150.0,2025-01-26 01:29:54.989,630,f,frog,turtle,turtle,where,hard,2,3.231748,4.211068,0.251,12,40 or more weeks,en,,3
0,CLHZRF,easy-turtle-horse-distractor,2025-01-28 15:12:42.464,90.0,2025-01-28 15:12:49.835,570,m,horse,turtle,horse,find,easy-distractor,2,3.175748,4.055907,0.195,12,37 weeks,en it,,3
0,5QCS4M,easy-cheese-mud-distractor,2025-01-25 20:48:13.455,158.0,2025-01-25 20:48:20.866,750,f,cheese,mud,mud,look_at,easy-distractor,2,3.135748,4.015907,0.155,12,39 weeks,en ko,,3
0,ZM4dG6,hard-squirrel-monkey-distractor,2025-01-29 16:26:23.104,154.0,2025-01-29 16:26:30.550,570,f,squirrel,monkey,monkey,where,hard-distractor,2,3.114748,4.094068,0.134,12,37 weeks,en yue,,3
0,GNXMNQ,easy-acorn-key-distractor,2025-01-24 00:44:08.017,47.0,2025-01-24 00:44:15.320,660,m,acorn,key,key,where,easy-distractor,2,3.275748,4.155907,0.295,12,37 weeks,en te ur,,3
0,UQBHFH,easy-turkey-swan-distractor,2025-01-24 14:10:24.128,55.0,2025-01-24 14:10:31.420,510,f,swan,turkey,swan,find,easy-distractor,2,3.110748,3.990907,0.13,12,40 or more weeks,en fr es,,3
0,ACW6AZ,easy-bulldozer-orange-distractor,2025-01-26 17:05:57.986,150.0,2025-01-26 17:06:05.407,630,f,bulldozer,orange,orange,find,easy-distractor,2,3.1967480000000004,4.176068000000001,0.216,12,39 weeks,en egy,,3
0,d4HUR3,easy-acorn-key,2025-01-24 02:47:40.681,392.0,2025-01-24 02:47:48.332,480,f,acorn,key,acorn,see,easy,2,3.216748,4.196068,0.236,12,39 weeks,en,,3
0,QEKHZQ,hard-turkey-goat,2025-01-26 21:14:54.526,2.0,2025-01-26 21:15:01.804,480,f,turkey,goat,turkey,find,hard,2,3.2257480000000003,4.205068000000001,0.245,12,40 or more weeks,en vi,,3
0,R6N65Q,hard-acorn-coconut-distractor,2025-01-27 23:49:41.938,454.0,2025-01-27 23:49:49.661,540,m,coconut,acorn,coconut,look_at,hard-distractor,2,3.271748,4.394515,0.291,12,40 or more weeks,en,,3
0,QGTESM,hard-acorn-coconut-distractor,2025-01-25 17:25:25.695,8.0,2025-01-25 17:25:33.109,630,m,acorn,coconut,coconut,where,hard-distractor,2,3.271748,4.394515,0.291,12,39 weeks,en,,3
0,HKHYFS,hard-squirrel-monkey-distractor,2025-01-27 22:52:36.514,338.0,2025-01-27 22:52:44.110,690,f,squirrel,monkey,monkey,where,hard-distractor,2,3.114748,4.094068,0.134,12,39 weeks,en,,3
0,cZRGZV,hard-potato-pot-distractor,2025-01-27 01:04:16.749,155.0,2025-01-27 01:04:24.159,630,f,pot,potato,pot,look_at,hard-distractor,2,3.308748,4.188907,0.328,12,39 weeks,en es,,3
0,FHRCdd,easy-acorn-key-distractor,2025-01-24 17:28:11.466,184.0,2025-01-24 17:28:18.895,540,m,key,acorn,key,look_at,easy-distractor,2,3.275748,4.155907,0.295,12,39 weeks,en ur,,3
0,L7Y4Y6,easy-turkey-swan-distractor,2025-01-27 13:45:38.471,341.0,2025-01-27 13:45:46.083,510,m,turkey,swan,swan,find,easy-distractor,2,3.110748,3.990907,0.13,12,40 or more weeks,en,,3
0,UUQJAd,hard-potato-pot-distractor,2025-01-24 13:26:59.744,239.0,2025-01-24 13:27:07.257,570,f,pot,potato,pot,where,hard-distractor,2,3.308748,4.188907,0.328,12,38 weeks,en fr,,3
0,QWGKVS,easy-snail-cow-distractor,2025-01-24 16:54:22.812,89.0,2025-01-24 16:54:30.168,750,m,snail,cow,cow,see,easy-distractor,2,3.1847480000000004,4.064907000000001,0.204,12,39 weeks,en,,3
0,HEYJKC,easy-turtle-horse-distractor,2025-01-27 14:00:59.280,94.0,2025-01-27 14:01:06.644,600,m,horse,turtle,horse,look_at,easy-distractor,2,3.149748,4.029907000000001,0.169,12,39 weeks,en,,3
0,YK3WN6,easy-potato-glasses,2025-01-27 22:37:39.789,42.0,2025-01-27 22:37:47.090,720,m,glasses,potato,potato,look_at,easy,2,3.210748,4.333515,0.23,12,39 weeks,en,,3
0,M63GEd,easy-acorn-key-distractor,2025-01-25 18:05:36.417,21.0,2025-01-25 18:05:43.768,660,f,acorn,key,key,find,easy-distractor,2,3.2817480000000003,4.161907,0.301,12,38 weeks,en,,3
0,QGVDBW,easy-cheese-mud,2025-01-27 14:55:34.174,538.0,2025-01-27 14:55:41.969,480,m,mud,cheese,cheese,find,easy,2,3.1487480000000003,4.128068000000001,0.168,12,40 or more weeks,en ru,,3
0,6THVBG,easy-snail-cow,2025-01-12 15:18:10.756,208.0,2025-01-12 15:18:18.225,510,f,snail,cow,snail,where,easy,2,3.1367480000000003,4.016907000000001,0.156,12,39 weeks,en,,3
0,MGVZH3,hard-turtle-frog,2025-01-29 20:01:02.034,345.0,2025-01-29 20:01:09.647,720,f,turtle,frog,turtle,see,hard,2,3.2497480000000003,4.229068,0.269,12,40 or more weeks,en fr cmn,,3
