image_similarity,text1,epoch,text2,text_similarity,multimodal_similarity
0.8070602,snake,4,lizard,0.843634,0.4646393
0.52151257,airplane,4,truck,0.76568186,0.31482166
0.3913948,car,4,truck,0.84024554,0.49974942
0.6055026,turkey,5,swan,0.65421844,0.35445195
0.5169837,turtle,5,horse,0.67116135,0.16529787
0.44129193,cheese,5,mud,0.5996318,0.346393
0.5712918,squirrel,5,eagle,0.6799035,0.21473235
0.4635205,potato,5,glasses,0.53085333,0.2012316
0.532279,bulldozer,5,orange,0.5295256,0.1392129
0.4963355,snail,5,cow,0.6084087,0.0997929
0.43363333,acorn,5,key,0.59325105,0.17946506
0.58443546,turkey,5,goat,0.63931215,0.29688346
0.68698794,turtle,5,frog,0.7950267,0.44549692
0.6809824,cheese,5,butter,0.789523,0.49311733
0.65910864,squirrel,5,monkey,0.7472884,0.39648277
0.4955992,potato,5,pot,0.64760786,0.25862354
0.6356625,bulldozer,5,tractor,0.7556817,0.29637355
0.6671513,snail,5,worm,0.7496333,0.38188428
0.73768395,acorn,5,coconut,0.70375925,0.41295558
0.42880905,balloon,5,dresser,0.5726123,0.19423825
0.6496164,balloon,5,kite,0.7036432,0.44305736
0.53562087,bathtub,5,sock,0.6161046,0.1372295
0.6996642,bathtub,5,shower,0.812628,0.3741457
0.47578973,camel,5,ladybug,0.54819435,0.06550288
0.6656626,camel,5,elephant,0.7754997,0.39615458
0.52698797,cloud,5,zipper,0.567063,0.27643782
0.7265581,cloud,5,tree,0.6974852,0.38417011
0.5047545,crow,5,seahorse,0.4926907,0.19460303
0.6632617,crow,5,penguin,0.7301106,0.35105574
0.5478417,duck,5,butterfly,0.679347,0.27782774
0.58530086,duck,5,chicken,0.80711,0.43575114
0.525597,lizard,5,walrus,0.555622,0.22359127
0.8042202,lizard,5,snake,0.83418584,0.4105276
0.50273424,truck,5,airplane,0.74334234,0.30604678
0.4082322,truck,5,car,0.83124727,0.17288673
0.6055026,swan,5,turkey,0.65421844,0.2999732
0.5169837,horse,5,turtle,0.67116135,0.23418069
0.44129193,mud,5,cheese,0.5996318,0.25361013
0.5712918,eagle,5,squirrel,0.6799035,0.24181235
0.4635205,glasses,5,potato,0.53085333,0.16274315
0.532279,orange,5,bulldozer,0.5295256,0.3122915
0.4963355,cow,5,snail,0.6084087,0.24906045
0.43363333,key,5,acorn,0.59325105,0.37103313
0.58443546,goat,5,turkey,0.63931215,0.30540806
0.68698794,frog,5,turtle,0.7950267,0.38424474
0.6809824,butter,5,cheese,0.789523,0.38481134
0.65910864,monkey,5,squirrel,0.7472884,0.34753865
